	t	AveExpr	lods	logFC	CI.L	CI.R	adj.P.Val	P.Value
KCNK5	-8.258751772463492	2.7245668566825607	14.825129080357941	-3.9668377911662853	-4.931214396207637	-3.0024611861249335	1.447272833240487e-08	5.910783943564752e-11
RARA	8.238055590827113	6.623551144956011	14.65912700134183	1.9884917402496862	1.5038556969271544	2.473127783572218	1.5358094680633736e-08	6.364615813595963e-11
ZMYND10	8.219129100981105	3.0685267255359685	14.69381935721273	4.046162067477143	3.057758943475009	5.034565191479277	1.6198709690729797e-08	6.810268338444959e-11
MEMO1	-8.210164545942353	4.4730185325047005	14.628506794787484	-1.4102928933933727	-1.7551777245298794	-1.065408062256866	1.649094976908862e-08	7.032176778410163e-11
GAMT	8.181866612820187	4.330800413004451	14.551451194610259	3.095901426839512	2.336185263096728	3.8556175905822965	1.7994766457631306e-08	7.781520630327051e-11
VAV3	8.16737791747408	7.071506335156987	14.416331231893928	2.9905352625084634	2.255373494742298	3.725697030274629	1.844938823323264e-08	8.195763986871819e-11
TSPAN1	8.166596474129214	5.710846946679437	14.472023848981438	4.387229098944255	3.30861559307289	5.46584260481562	1.844938823323264e-08	8.218726075050823e-11
FLJ45983	8.163493818854601	2.9325050276478812	14.491670997227317	4.918101543344717	3.7085118983190375	6.127691188370396	1.844938823323264e-08	8.310535240194883e-11
SCUBE2	8.14672704631171	7.210100424958788	14.400136654610122	6.004779369541908	4.524885651825642	7.484673087258175	1.9333315858814295e-08	8.824816848467787e-11
BCAS1	8.134462137121846	3.755756391319289	14.402837699401436	5.8201081240373576	4.38356440336333	7.256651844711385	1.9939294781987572e-08	9.2211753646429e-11
CHODL	-8.097225683471132	-1.193795898775318	13.843300978548685	-4.467204418157895	-5.574889277251016	-3.3595195590647737	2.238360900053476e-08	1.0537632760092418e-10
CTSL2	-8.091586947453196	2.213837907506709	14.227039629995017	-3.640841999037386	-4.544251730448597	-2.7374322676261755	2.238360900053476e-08	1.0752837858253707e-10
LOC145837	8.09153379814021	0.9991182718195969	14.083071435970103	5.3384945500658265	4.013834043564699	6.663155056566954	2.238360900053476e-08	1.0754887207464148e-10
FAM174B	8.020774137844395	5.9988042494951515	13.90346465983783	2.1765356352206613	1.6316992130872228	2.7213720573541	2.8496630160054222e-08	1.3863225483269621e-10
ABAT	8.013096996785663	5.5189340310128205	13.920013883389288	3.8571640814347123	2.890703041706509	4.823625121162916	2.893582768333722e-08	1.4250677898100012e-10
MYB	7.997685637558293	6.221258854652482	13.827699482952633	2.931320944293158	2.195426237978919	3.6672156506073965	3.021399455624225e-08	1.5061630919928567e-10
BCAM	7.947799208141375	8.03723377495612	13.630375030989294	2.480868455278011	1.8541485513914564	3.1075883591645654	3.571559136910625e-08	1.8018676726756305e-10
CDCA7	-7.933299767954349	1.8472048618503645	13.672601096257536	-3.5448939075122037	-4.442045876065056	-2.647741938959351	3.718417576319694e-08	1.898291255178222e-10
KHDRBS3	-7.907799395187061	3.254520289037097	13.613195798300183	-2.5339520379378078	-3.177319931226387	-1.8905841446492286	4.028184858777426e-08	2.080624011140292e-10
SYTL4	7.8935952943249745	4.98619175462225	13.493997682452328	2.226272116401644	1.6600067141888697	2.7925375186144183	4.190659069483447e-08	2.1897137480183776e-10
LONRF2	7.8741997025318335	4.547603360041064	13.468604529947335	3.914066990413595	2.916048777834296	4.912085202992895	4.442553925153716e-08	2.3480164889701324e-10
LOC100130148	7.843048259235082	-1.6882264580354196	12.872821634344511	5.587749296736058	4.157312535988508	7.018186057483607	4.8790358467446524e-08	2.626687541426386e-10
SUOX	7.841926838481067	5.265092789423634	13.288563075196153	1.428071540334411	1.0624398625539175	1.7937032181149046	4.8790358467446524e-08	2.6373166739160285e-10
C20orf26	7.838111106055285	-0.6774276514933615	13.00439792109676	3.9000042093790057	2.900993146282654	4.899015272475357	4.8921869369966185e-08	2.6738078754756294e-10
FLJ36031	-7.822769609165225	3.8067149500623882	13.29637939800506	-1.6080480968600548	-2.020767732762962	-1.1953284609571473	5.113930081271432e-08	2.825715119981812e-10
UBXN10	7.802908148348029	3.562129030359804	13.244680263672764	3.879286031656788	2.8810989495325545	4.877473113781021	5.434214774142178e-08	3.035327171142478e-10
BCL2	7.793531929197128	6.168628295490508	13.10751153564431	3.108364375278037	2.3075824884206946	3.9091462621353794	5.54473998106149e-08	3.139639172511844e-10
